

[2020-11-15 16:14:05] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-15 16:18:34] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-15 16:19:06] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-15 16:24:45] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-15 16:27:19] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-15 16:32:08] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-15 16:34:09] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-15 16:39:08] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-17 00:19:45] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-17 00:24:30] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-19 20:19:58] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-19 20:22:50] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-19 20:40:11] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-19 20:57:45] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-19 21:04:03] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-19 21:16:47] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-19 21:17:00] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-19 21:22:42] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-19 21:26:16] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-19 21:47:29] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-19 21:50:47] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-19 21:52:50] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-19 21:53:22] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-19 22:03:27] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-19 22:05:53] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-19 22:08:21] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-19 22:09:46] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-19 22:10:53] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-19 22:12:17] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-19 22:15:52] [AppID 1105810] CAPIJobStoreUserStats::BInit() - no stats found, aborting


